fid,InputID,TargetID,Distance,Proximity
329,55,47,285.4278698,0
330,55,48,243.6519775,0
331,55,49,413.6949865,0
332,55,50,449.592612,0
333,55,51,388.7440577,0
334,55,52,346.2463226,0
335,55,53,49.43292147,1
336,55,54,116.8459909,1
337,55,56,54.18061595,1
338,55,57,125.7028784,1
339,55,58,160.2058692,1
340,55,59,112.9979953,1
341,55,60,154.443563,1
342,55,61,221.8259287,0
343,55,62,246.674898,0
344,55,63,219.5850744,0
345,55,64,250.6986773,0
346,56,41,237.5092577,0
347,56,42,188.7217948,1
348,56,43,157.6662711,1
349,56,44,152.464541,1
350,56,45,366.3632274,0
351,56,46,308.9472062,0
352,56,47,281.444957,0
353,56,48,253.9434291,0
354,56,49,409.3889993,0
355,56,50,438.9364472,0
356,56,51,388.8175874,0
357,56,52,356.1588818,0
358,56,53,103.4305984,1
359,56,54,170.9995171,1
360,56,55,54.18061595,1
361,56,57,158.7456256,1
362,56,58,204.4151608,0
363,56,59,129.3209014,1
364,56,60,136.7690695,1
365,56,61,242.6646323,0
366,56,62,278.8126282,0
367,56,63,229.7666888,0
368,56,64,243.4452221,0
369,57,41,394.7159144,0
370,57,42,341.000284,0
371,57,43,289.5407765,0
372,57,44,233.2171028,0
373,57,45,510.6079937,0
374,57,46,448.6412723,0
375,57,47,406.5169754,0
376,57,48,355.6638517,0
377,57,49,533.5424972,0
378,57,50,572.5436196,0
379,57,51,505.885379,0
380,57,52,455.4515196,0
381,57,53,105.3131092,1
382,57,54,128.5084861,1
383,57,55,125.7028784,1
384,57,56,158.7456256,1
385,57,58,62.35299082,1
386,57,59,50.27382104,1
387,57,60,136.4694174,1
388,57,61,102.2994235,1
389,57,62,121.3556561,1
390,57,63,117.1967536,1
391,57,64,178.8027532,1
392,58,41,432.4469184,0
393,58,42,374.1788389,0
394,58,43,312.7213494,0
395,58,44,240.8247679,0
396,58,45,534.4141089,0
397,58,46,470.4736478,0
398,58,47,421.2478722,0
399,58,48,361.5791032,0
400,58,49,544.6919208,0
401,58,50,588.4577679,0
402,58,51,513.9024003,0
403,58,52,456.3629652,0
404,58,53,122.239771,1
405,58,54,108.8048196,1
406,58,55,160.2058692,1
407,58,56,204.4151608,0
408,58,57,62.35299082,1
409,58,59,112.5692286,1
410,58,60,198.6924776,1
411,58,61,123.8800235,1
412,58,62,106.4154291,1
413,58,63,156.6462228,1
414,58,64,228.9669802,0
415,59,41,366.3639282,0
416,59,42,317.6399271,0
417,59,43,276.5129107,0
418,59,44,235.8746489,0
419,59,45,493.1970093,0
420,59,46,433.6047194,0
421,59,47,398.1312521,0
422,59,48,355.5839868,0
423,59,49,526.5242324,0
424,59,50,561.224557,0
425,59,51,501.7322034,0
426,59,52,457.6936705,0
427,59,53,113.8715109,1
428,59,54,158.8406458,1
429,59,55,112.9979953,1
430,59,56,129.3209014,1
431,59,57,50.27382104,1
432,59,58,112.5692286,1
433,59,60,86.99591962,1
434,59,61,113.3698128,1
435,59,62,154.2994179,1
436,59,63,106.6112867,1
437,59,64,148.124782,1
438,60,41,348.9761784,0
439,60,42,313.0830387,0
440,60,43,293.9158609,0
441,60,44,280.3277708,0
442,60,45,493.7478487,0
443,60,46,440.1437759,0
444,60,47,417.4656118,0
445,60,48,389.7480167,0
446,60,49,544.7891331,0
447,60,50,571.4076666,0
448,60,51,525.2734851,0
449,60,52,492.3347686,0
450,60,53,178.9732168,1
451,60,54,236.9235516,0
452,60,55,154.443563,1
453,60,56,136.7690695,1
454,60,57,136.4694174,1
455,60,58,198.6924776,1
456,60,59,86.99591962,1
457,60,61,157.3366827,1
458,60,62,216.7953438,0
459,60,63,122.7857961,1
460,60,64,109.0912834,1
461,61,41,479.3203869,0
462,61,42,430.968484,0
463,61,43,386.9465886,0
464,61,44,335.3509326,0
465,61,45,605.6698826,0
466,61,46,545.2347584,0
467,61,47,506.4190966,0
468,61,48,457.6700388,0
469,61,49,634.1202164,0
470,61,50,671.3646509,0
471,61,51,607.2794464,0
472,61,52,557.7267131,0
473,61,53,207.4659165,0
474,61,54,224.1199768,0
475,61,55,221.8259287,0
476,61,56,242.6646323,0
477,61,57,102.2994235,1
478,61,58,123.8800235,1
479,61,59,113.3698128,1
480,61,60,157.3366827,1
481,61,62,66.57119859,1
482,61,63,47.50337503,1
483,61,64,126.133835,1
484,62,41,515.730266,0
485,62,42,462.3426162,0
486,62,43,408.8312367,0
487,62,44,344.1711017,0
488,62,45,630.6022884,0
489,62,46,567.908526,0
490,62,47,522.5555434,0
491,62,48,466.0470863,0
492,62,49,647.802952,0
493,62,50,689.5046333,0
494,62,51,618.0735177,0
495,62,52,562.1619843,0
496,62,53,219.5061325,0
497,62,54,215.2077444,0
498,62,55,246.674898,0
499,62,56,278.8126282,0
500,62,57,121.3556561,1
501,62,58,106.4154291,1
502,62,59,154.2994179,1
503,62,60,216.7953438,0
504,62,61,66.57119859,1
505,62,63,113.9572973,1
506,62,64,191.7806521,1
507,63,41,461.5597816,0
508,63,42,417.9154686,0
509,63,43,382.134488,0
510,63,44,341.3679731,0
511,63,45,596.0997049,0
512,63,46,537.8769279,0
513,63,47,504.3956603,0
514,63,48,461.9064655,0
515,63,49,632.8648484,0
516,63,50,666.5599342,0
517,63,51,608.3291087,0
518,63,52,563.7399841,0
519,63,53,215.8816511,0
520,63,54,245.5511216,0
521,63,55,219.5850744,0
522,63,56,229.7666888,0
523,63,57,117.1967536,1
524,63,58,156.6462228,1
525,63,59,106.6112867,1
526,63,60,122.7857961,1
527,63,61,47.50337503,1
528,63,62,113.9572973,1
529,63,64,79.12445729,1
530,64,41,456.2225538,0
531,64,42,422.0948936,0
532,64,43,401.109735,0
533,64,44,377.8562132,0
534,64,45,602.7811508,0
535,64,46,549.1515086,0
536,64,47,524.8898127,0
537,64,48,492.7798599,0
538,64,49,652.7221734,0
539,64,50,680.3186813,0
540,64,51,632.1009845,0
541,64,52,595.623921,0
542,64,53,261.4260359,0
543,64,54,304.5135546,0
544,64,55,250.6986773,0
545,64,56,243.4452221,0
546,64,57,178.8027532,1
547,64,58,228.9669802,0
548,64,59,148.124782,1
549,64,60,109.0912834,1
550,64,61,126.133835,1
551,64,62,191.7806521,1
552,64,63,79.12445729,1
