"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","trait"
0.01,-0.5,-0.3,0.57,0.41,-0.03,0.22,-0.34,"body_length"
-0.51,-0.15,-0.05,-0.05,-0.44,-0.12,-0.38,-0.6,"antenna_length_standard"
-0.37,0.41,-0.17,0.25,0.39,-0.51,-0.36,0.24,"eye_protrusion_standard"
-0.33,0.48,-0.27,-0.21,0.08,0.06,0.67,-0.29,"eye_length_standard"
0.43,0.24,0.06,0.4,-0.49,-0.53,0.23,-0.14,"pronotum_width_standard"
-0.22,0.32,0.52,0.58,-0.03,0.49,-0.01,-0.05,"abdomen_width_standard"
-0.45,-0.29,-0.21,0.21,-0.44,0.01,0.28,0.6,"rear_leg_length_standard"
0.25,0.29,-0.7,0.17,-0.2,0.44,-0.31,0.01,"rear_trochanter_length_standard"
