"Agonoleptus_thoracicus","Agonum_ferreum","Agonum_fidele","Agonum_retractum","Amphasia_interstitialis","Anisodactylus_harrisii","Anisodactylus_melanopus","Anisodactylus_nigerrimus","Apenes_lucidula","Carabus_goryi","Chlaenius_emarginatus","Chlaenius_laticollis","Cyclotrachelus_convivus","Cyclotrachelus_fucatus","Cyclotrachelus_sigillatus","Cymindis_limbata","Cymindis_platicollis","Dicaelus_politus","Dicaelus_teter","Galerita_bicolor","Harpalus_spadiceus","Lophoglossus_scrutator","Notiobia_nitidipennis","Notiophilus_aeneus","Olisthopus_parmatus","Platynus_angustatus","Platynus_decentis","Platynus_tenuicollis","Pseudamara_arenaria","Pterostichus_adoxus","Pterostichus_coracinus","Pterostichus_corvinus","Pterostichus_diligendus","Pterostichus_hamiltoni","Pterostichus_lachrymosus","Pterostichus_melanarius","Pterostichus_moestus","Pterostichus_mutus","Pterostichus_rostratus","Pterostichus_sayanus","Pterostichus_stygicus","Pterostichus_tristis","Scaphinotus_imperfectus","Scaphinotus_viduus","Sphaeroderus_canadensis","Sphaeroderus_stenostomus","Trichotichnus_autumnalis"
0,0.282904842025806,0.331175086906341,0.172378666418594,0.324091580565884,0.33742089747921,0.35485471986869,0.408239359742327,0.170183001410001,0.180106232685676,0.365758937535506,0.396202357990742,0.197021712581079,0.151609297345661,0.16662387164631,0.325879573078331,0.285096316078567,0.105912190806209,0.142576957542027,0.392799607609213,0.13166987754369,0.333221262929673,0.326472330571868,0.629403077559976,0.340634611053727,0.193053991360761,0.132569262039174,0.346308481310395,0.254471661363226,0.130846369167275,0.151100683507848,0.309320749940951,0.130316552626815,0.138089647941163,0.144134378008487,0.250377586877435,0.168400453621979,0.289714223758699,0.134432131857385,0.0965570770372544,0.140439073052053,0.107030160085074,0.179333405761629,0.306412896848838,0.166629374625317,0.220575792524285,0.344494592313158
0.282904842025806,0,0.0842027678645191,0.233141650185378,0.112801062069264,0.123908826163702,0.138437011488269,0.349590878049633,0.239348322098614,0.403458158869704,0.233208369642371,0.139640860838989,0.439921957322945,0.402078277960096,0.414590423210637,0.157368103832353,0.13112775046271,0.363997355843886,0.394551328123735,0.196056583259804,0.452449642884102,0.115610637339808,0.219262632347883,0.409913284989138,0.207493720180469,0.258457624445796,0.238642420199957,0.0973592933943255,0.310536216314067,0.280298225871143,0.401654433095252,0.0956935431825398,0.283271862728854,0.390811903456348,0.395849178512452,0.301378649955529,0.311593296250063,0.25081993139661,0.307613035776216,0.455020291158533,0.288292145775125,0.364928996909607,0.33341356674785,0.39240231985995,0.30295852417981,0.359871238701265,0.140082759741826
0.331175086906341,0.0842027678645191,0,0.28839292114774,0.0929596947436174,0.0913399100093375,0.0739948858957927,0.265388110185114,0.263191286640029,0.352350348869742,0.232965411292051,0.101211538880697,0.404187997312294,0.410636003726224,0.39133102043434,0.169158303233849,0.178265323433129,0.381883287028676,0.359736150061308,0.264175075406817,0.401426646059698,0.104914507813049,0.211907298233117,0.494116052853657,0.173175442916026,0.314921228584189,0.203739612307816,0.103454371428256,0.305675423147051,0.308477379574872,0.400770592183552,0.094078489038557,0.324184515468065,0.36594165877837,0.392889089908096,0.305950822745079,0.301748440786835,0.277476681029664,0.348525688515427,0.495932943897744,0.29830601856491,0.401176391175161,0.332101794895319,0.312698174952081,0.261894564146658,0.277618123786429,0.13522196657481
0.172378666418594,0.233141650185378,0.28839292114774,0,0.298375824787674,0.309483588882112,0.324011774206678,0.338119758424274,0.074954775571013,0.229750900321896,0.214985688007381,0.330373403084596,0.271372478302334,0.233528798939486,0.246040944190026,0.176396750609937,0.133652755130095,0.195447876823275,0.226001849103124,0.197516574305925,0.296031953487696,0.306343179585415,0.195882171185695,0.431147303462288,0.211997473804139,0.318546041986893,0.273890385532746,0.27143282138536,0.13671365705504,0.320703970731129,0.233104954074641,0.286426085428147,0.320262456947412,0.222262424435737,0.227299699491841,0.132829170934918,0.351999041110049,0.227439470234423,0.323692106306221,0.249841003408848,0.328697890635111,0.196379517888996,0.309227140443069,0.427650285192739,0.338206489512599,0.395119204034054,0.315378334577069
0.324091580565884,0.112801062069264,0.0929596947436174,0.298375824787674,0,0.0158292546121033,0.0312613676024779,0.261666722423231,0.235767812479806,0.37329697269585,0.209474142346754,0.123513790500743,0.359018897110089,0.334763036421076,0.333643856830865,0.209415145836759,0.206863617637875,0.33656986347831,0.343704317371271,0.261190414140716,0.369905714872274,0.0587499809795428,0.152385185116387,0.522714347058402,0.230703394686046,0.311936567318088,0.235942242711058,0.133907291789043,0.259952918479569,0.237976606336251,0.341121298194898,0.0261183963512951,0.245607730003994,0.313837570821069,0.326041239791692,0.226680987835748,0.25771414206213,0.20659647508023,0.255565993771809,0.402973249154126,0.225047994439432,0.34303252323311,0.362554715256106,0.374074914224853,0.269803634624634,0.29586889732365,0.0879901110659486
0.33742089747921,0.123908826163702,0.0913399100093375,0.309483588882112,0.0158292546121033,0,0.0310515084822307,0.253343056732134,0.250187141477876,0.373087113575603,0.221991832055225,0.11958207873262,0.35549747308621,0.347280726129547,0.330407646809346,0.215529555141918,0.217971381732313,0.349087553186781,0.340182893347391,0.273708103849187,0.357388025163803,0.0666671185935287,0.164376124906691,0.53382211115284,0.225772045048134,0.324454257026559,0.239069823468003,0.149736546401147,0.26374679045398,0.250494296044722,0.353638987903369,0.0372261604457331,0.258125419712465,0.31031614679719,0.338558929500163,0.239198677544219,0.267892479353679,0.220345104333186,0.257185778506089,0.404593033888406,0.237565684147903,0.355550212941581,0.37838396986821,0.373865055104605,0.285632889236737,0.295659038203403,0.102409440064019
0.35485471986869,0.138437011488269,0.0739948858957927,0.324011774206678,0.0312613676024779,0.0310515084822307,0,0.238998062237178,0.258370710655872,0.355369920685886,0.232142802532807,0.108896651486062,0.353459100331798,0.357431696607129,0.340558617286928,0.223392546857598,0.232499567056879,0.359238523664363,0.339063302541204,0.283859074326769,0.369985452975995,0.0811953039180952,0.169741577361627,0.548350296477407,0.216086255671365,0.334605227504141,0.236609504534092,0.142899012620251,0.277537346727202,0.260645266522304,0.363789958380952,0.0517543457702996,0.268276390190047,0.321165197343083,0.348709899977745,0.249349648021801,0.278043449831261,0.229265135266283,0.283860072141336,0.431267327523652,0.247716654625485,0.365701183419163,0.371546436087315,0.342813546622375,0.278795355455842,0.275886452192556,0.104425583132261
0.408239359742327,0.349590878049633,0.265388110185114,0.338119758424274,0.261666722423231,0.253343056732134,0.238998062237178,0,0.263164982853261,0.370574143016126,0.262185640889388,0.312460180470869,0.38350193868838,0.387474534963711,0.370601455643509,0.225591189538366,0.234698209737646,0.389281362020944,0.369106140897785,0.313901912683351,0.235476687063735,0.308940114504024,0.155433188147007,0.550548939158174,0.194526329360401,0.57360328974132,0.462421673464947,0.319419544932425,0.216006458336289,0.499643328759482,0.393832796737533,0.279906709248512,0.507274452427225,0.349184327732032,0.378752738334327,0.279392486378383,0.51704151206844,0.134929864170129,0.510528835238223,0.324602757287207,0.486714716862663,0.395744021775745,0.553446625757881,0.477322312534634,0.455315887768016,0.45240698450473,0.262361062782783
0.170183001410001,0.239348322098614,0.263191286640029,0.074954775571013,0.235767812479806,0.250187141477876,0.258370710655872,0.263164982853261,0,0.209218247732892,0.188802293835761,0.31864942282209,0.215942550746608,0.17809887138376,0.1906110166343,0.170691513852574,0.133017416903813,0.147442328046586,0.179968216170644,0.21133618556385,0.221077177916682,0.250913252029689,0.130241107634889,0.440306383207155,0.195012813944798,0.332365653244818,0.271391289987165,0.279702777501697,0.0728886668909721,0.265274043175403,0.177675026518915,0.230996157872421,0.269948452708633,0.166832496880012,0.171869771936115,0.0773992433791927,0.3029332647421,0.166912083285702,0.294289625755995,0.232741657257715,0.273267963079385,0.14094959033327,0.358023403583139,0.416260985661885,0.299774717142284,0.338054968760682,0.261717231584949
0.180106232685676,0.403458158869704,0.352350348869742,0.229750900321896,0.37329697269585,0.373087113575603,0.355369920685886,0.370574143016126,0.209218247732892,0,0.287456800317968,0.359079182841155,0.132010018016803,0.135649983839288,0.111251074944233,0.28246947530136,0.288565490557718,0.0958163410615752,0.0482259941912205,0.277340155379162,0.180378722129665,0.393537748183579,0.316156274166916,0.604416219978245,0.257313563145861,0.234551803678577,0.181631634174708,0.40053693550994,0.27362524614687,0.226352235445422,0.119196298993031,0.382294176516803,0.2573138164339,0.103046798251353,0.0948374373370742,0.20206946116192,0.22660575936745,0.337576724027056,0.233203572555268,0.221312184989278,0.23323520927195,0.126651229567245,0.271946577963819,0.218191032000737,0.197366592765598,0.204800928620222,0.459795503818147
