"Treatment","total_count_stdz","open_habitat_spp_stdz","eurytopic_spp_stdz","forest_specialist_spp_stdz","species_richness","shannon_diversity","mean_pairwise_distance","PC1","PC2","PC3","pronotum_width_standard","rear_leg_length_standard","rear_trochanter_length_standard","eye_length_standard","body_length","antenna_rear_leg_ratio","Water_affinity","Flight_capability","antenna_length_standard"
"Forest",0.324695121951219,0,0.154800334768054,0.169894787183166,6.66666666666667,5.11891641029847,0.153909229142731,0.286699970875418,1.21206987238698,-0.271905962166431,0.262218322152975,0.744477048059913,0.0984541236980537,0.045062927914177,17.3229881135702,0.607238809171845,0.790826856507499,0.0765950319521747,0.453302146369697
"Salvaged",1.00394548063128,0.0109995217599235,0.539693926351028,0.453252032520325,11.6666666666667,6.31523023236335,0.180935444795525,-0.210025972745365,0.485617349708609,-0.616248765417879,0.264825691747166,0.751643921532649,0.113284192218787,0.0499123097746889,15.6070043942096,0.607609087950454,0.796477818128471,0.296742508583577,0.458208164342743
"Windthrow",0.327056432329029,0,0.15214012434242,0.174916307986609,8,6.44952447995881,0.156073362957947,-0.00630284440092505,0.896285119893815,-0.4456419163685,0.263183951565739,0.731288184768108,0.102802818996673,0.0462546460554436,16.0928147576307,0.6060270058556,0.70737950153711,0.076697683355292,0.444389314818389
