Plot,days_active
41,112
42,111
43,111
44,112
45,96
46,111
47,111
48,98
49,111
50,96
51,111
52,98
53,112
54,98
55,112
56,112
57,112
58,112
59,112
60,112
61,112
62,84
63,112
64,112
