Species,Genus,body_length,eye_length_standard,eye_protrusion_ratio,pronotum_width_standard,abdomen_width_standard,rear_leg_length_standard,antenna_rear_leg_ratio,rear_trochanter_length_standard,Forest_affinity,Water_affinity,Flight_capability,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,antenna_length_standard,eye_protrusion_standard
Dicaelus_politus,Dicaelus,13.43333333,0.048966606,1.048382173,0.276885978,0.344559931,0.766151362,0.629428696,0.106738267,forest specialist,0.5,0,-0.242073531,0.120752063,-0.820604874,-0.048488623,-0.163897568,0.555973869,-0.527613771,-0.178565582,0.482119052,0.051056719
Dicaelus_teter,Dicaelus,19.28666667,0.044121142,1.141680283,0.27341502,0.352705366,0.789103912,0.600373136,0.096484026,forest specialist,0.5,0,0.388582843,1.662715999,-0.284826515,-0.007614379,-0.151787813,0.491267787,-0.190587659,-0.426367723,0.479275219,0.050314292
Galerita_bicolor,Galerita,18.65,0.053684514,1,0.174194013,0.356721359,0.991853771,0.596207865,0.091263673,eurytopic,0.5,1,2.676196261,0.819080178,-2.239653377,1.504070248,-0.928759719,-0.278584986,-0.140654319,0.562731864,0.591436385,0.053684514
Harpalus_spadiceus,Harpalus,10.01666667,0.050278656,1.066666667,0.315409698,0.397383581,0.565913986,0.573129473,0.125187072,forest specialist,0,0,-2.26098865,-0.685410831,1.07865258,-0.038724127,-0.390843683,0.034293299,0.348909282,0.238018359,0.321113252,0.053686192
Lophoglossus_scrutator,Lophoglossus,15.85,0.056782334,1.111111111,0.293375394,0.34384858,0.646687697,0.634146341,0.113564669,eurytopic,1,1,-0.886561424,-0.218830419,-0.325855659,0.175273702,0.779670419,0.15722228,0.343860209,-1.027137483,0.410094637,0.063091483
Myas_coracinus,Myas,14.9,0.048768939,1.201428571,0.357963564,0.392496392,0.68393759,0.501062648,0.120941558,forest specialist,0.5,0,-2.209922175,1.081307978,1.829245846,0.948651458,-0.268244741,0.060528659,-0.623730061,-0.599746469,0.343118687,0.058455087
Notiobia_nitidipennis,Notiobia,8.825,0.047723913,0.913359788,0.294954958,0.371905359,0.61952956,0.571023445,0.105799716,eurytopic,0.5,1,-1.754951208,-0.682190873,-0.344583265,-0.663078977,-1.461153125,-0.153261861,-0.059213661,0.154407863,0.353948818,0.04363897
Notiophilus_aeneus,Notiophilus,5.4,0.148148148,1.3125,0.287037037,0.333333333,0.666666667,0.444444444,0.037037037,eurytopic,0.5,1,1.353355937,-6.312603458,0.16435863,4.854817923,2.10687022,-8.33690505,-1.314991448,-7.183876095,0.296296296,0.194444444
Olisthopus_parmatus,Olisthopus,7.7,0.062433475,1.188,0.29667726,0.442657727,0.723580839,0.692441864,0.132940009,eurytopic,0.5,1,-0.261008694,-2.455250071,1.959756454,1.398263354,0.458653867,0.918537446,0.015996563,0.359377963,0.500728167,0.073749405
Patrobus_longicornis,Patrobus,13.7,0.065693431,1.333333333,0.248175182,0.364963504,0.715328467,0.632653061,0.094890511,eurytopic,1,0.5,1.157616059,-0.662098851,0.678303559,0.629471973,1.636296413,-1.198399294,-0.134731027,-0.921981828,0.452554745,0.087591241
