"Year","Treatment","total_count_stdz","open_habitat_spp_stdz","eurytopic_spp_stdz","forest_specialist_spp_stdz","sp_rich","shannon_diversity","mean_pairwise_distance","PC1","PC2","PC3","body_length","antenna_length_standard","rear_leg_length_standard","eye_length_standard","eye_protrusion_standard","pronotum_width_standard","abdomen_width_standard","rear_trochanter_length_standard","Water_affinity","Flight_capability"
"2015","Windthrow","26.8 +- 7.533","0 +- 0","12.467 +- 3.55","14.333 +- 4.246","8 +- 1.612","6.45 +- 1.223","0.146 +- 0.013","0.253 +- 0.186","-1.12 +- 0.106","-0.148 +- 0.13","16.093 +- 0.497","0.444 +- 0.013","0.731 +- 0.014","0.046 +- 0.001","0.052 +- 0.001","0.263 +- 0.002","0.349 +- 0.006","0.103 +- 0.003","0.707 +- 0.032","0.077 +- 0.035"
"2015","Salvaged","82.2 +- 24.272","0.9 +- 0.317","44.2 +- 15.447","37.1 +- 14.281","11.667 +- 0.803","6.315 +- 1.04","0.17 +- 0.008","-0.049 +- 0.122","-0.59 +- 0.236","-0.732 +- 0.218","15.607 +- 0.533","0.458 +- 0.011","0.752 +- 0.013","0.05 +- 0.001","0.054 +- 0.001","0.265 +- 0.002","0.351 +- 0.005","0.113 +- 0.003","0.796 +- 0.052","0.297 +- 0.068"
"2015","Forest","26.6 +- 5.359","0 +- 0","12.683 +- 3.143","13.917 +- 2.793","6.667 +- 0.655","5.119 +- 0.5","0.142 +- 0.011","0.108 +- 0.164","-1.442 +- 0.133","0 +- 0.109","17.323 +- 0.472","0.453 +- 0.007","0.744 +- 0.013","0.045 +- 0.001","0.051 +- 0.001","0.262 +- 0.003","0.353 +- 0.004","0.098 +- 0.002","0.791 +- 0.027","0.077 +- 0.036"
"2022","Windthrow","29.167 +- 4.629","0 +- 0","15.5 +- 3.622","13.667 +- 3.201","9.5 +- 1.335","6.981 +- 0.85","0.154 +- 0.009","0.17 +- 0.087","-1.009 +- 0.082","-0.038 +- 0.14","15.738 +- 0.146","0.446 +- 0.006","0.74 +- 0.006","0.047 +- 0.001","0.052 +- 0","0.265 +- 0.001","0.357 +- 0.003","0.103 +- 0.002","0.809 +- 0.033","0.09 +- 0.033"
"2022","Salvaged","30.333 +- 8.445","0.667 +- 0.667","20.167 +- 8.719","9.333 +- 1.926","9.833 +- 1.078","6.724 +- 0.963","0.143 +- 0.012","0.468 +- 0.056","-0.622 +- 0.169","-0.364 +- 0.181","15.291 +- 0.371","0.423 +- 0.005","0.712 +- 0.008","0.049 +- 0.001","0.053 +- 0.001","0.268 +- 0.002","0.349 +- 0.003","0.109 +- 0.003","0.756 +- 0.028","0.081 +- 0.042"
"2022","Forest","22.925 +- 3.273","0.225 +- 0.153","11.075 +- 1.395","11.625 +- 2.112","8.333 +- 0.772","6.42 +- 0.571","0.151 +- 0.009","0.148 +- 0.152","-1.121 +- 0.135","-0.097 +- 0.136","16.464 +- 0.378","0.445 +- 0.008","0.739 +- 0.009","0.046 +- 0.001","0.052 +- 0.001","0.264 +- 0.001","0.354 +- 0.003","0.102 +- 0.002","0.742 +- 0.031","0.049 +- 0.015"
